fraction,n_trials,coef,se,pvalue,model,bias
0.1,20,-0.01467697732299889,0.14901526173065438,0.9215407387456165,llama-3.1-8b,bandwagon_effect
1.0,238,0.0,,,llama-3.1-8b,authority_bias
0.5,118,0.0,,,llama-3.1-8b,authority_bias
0.25,56,0.0,,,llama-3.1-8b,authority_bias
0.1,22,0.0,,,llama-3.1-8b,authority_bias
1.0,100,,,,llama-3.3-70b,confirmation_bias
0.5,50,,,,llama-3.3-70b,confirmation_bias
1.0,239,0.0,,,minimax-m2.5,sunk_cost_fallacy
0.5,118,0.0,,,minimax-m2.5,sunk_cost_fallacy
0.25,58,0.0,,,minimax-m2.5,sunk_cost_fallacy
0.1,21,0.0,,,minimax-m2.5,sunk_cost_fallacy
1.0,344,0.0,,,minimax-m2.5,confirmation_bias
0.5,172,1.1710121976231272e-18,1.8248468256242135e-10,0.9999999948799398,minimax-m2.5,confirmation_bias
0.25,85,0.0,,,minimax-m2.5,confirmation_bias
0.1,34,0.0,,,minimax-m2.5,confirmation_bias
1.0,358,0.0,,,minimax-m2.5,authority_bias
0.5,177,0.0,,,minimax-m2.5,authority_bias
0.25,87,0.0,,,minimax-m2.5,authority_bias
0.1,33,0.0,,,minimax-m2.5,authority_bias
1.0,600,0.3333333333333333,0.01930948156592324,8.984810629456396e-67,mistral-large,framing_effect
0.5,300,0.33333333333333337,0.027399831213151808,4.743851671776516e-34,mistral-large,framing_effect
0.25,150,0.33333333333333337,0.03901371575909409,1.2964984385765306e-17,mistral-large,framing_effect
0.1,60,0.33333333333333326,0.06299407864452125,1.2131544022822088e-07,mistral-large,framing_effect
1.0,800,0.0,,,mistral-large,sunk_cost_fallacy
0.5,400,0.0,,,mistral-large,sunk_cost_fallacy
0.25,200,0.0,,,mistral-large,sunk_cost_fallacy
0.1,80,0.0,,,mistral-large,sunk_cost_fallacy
1.0,600,-0.09999999999999996,0.016384637998007864,1.0391489249416982e-09,mistral-large,status_quo_bias
0.5,300,-0.10666666666666667,0.023811068823082506,7.474476294809576e-06,mistral-large,status_quo_bias
0.25,150,-0.10666666666666665,0.03390380617522137,0.001654316842665468,mistral-large,status_quo_bias
0.1,60,-0.10000000000000002,0.053452275549382304,0.061368960975084375,mistral-large,status_quo_bias
1.0,732,0.5412973326222457,0.02547155634888606,3.2237129890839174e-100,mistral-large,decoy_effect
0.5,366,0.5075043847784028,0.03855245637301893,1.4140467066690305e-39,mistral-large,decoy_effect
0.25,183,0.4739744429579822,0.055199343404237315,8.958422084796808e-18,mistral-large,decoy_effect
0.1,73,0.43053593439887405,0.09530995496767565,6.265710977335205e-06,mistral-large,decoy_effect
1.0,1000,0.0,,,mistral-large,confirmation_bias
0.5,500,0.0,,,mistral-large,confirmation_bias
0.25,250,0.0,,,mistral-large,confirmation_bias
0.1,100,0.0,,,mistral-large,confirmation_bias
1.0,800,0.02249999999999998,0.007343225174578679,0.0021836331553781985,mistral-large,bandwagon_effect
0.5,400,0.029999999999999995,0.011959848386852984,0.012128169291057365,mistral-large,bandwagon_effect
0.25,200,0.019999999999999997,0.013959648791112306,0.15194336059672903,mistral-large,bandwagon_effect
0.1,80,0.0,,,mistral-large,bandwagon_effect
1.0,800,0.0,,,mistral-large,authority_bias
0.5,400,0.0,,,mistral-large,authority_bias
0.25,200,0.0,,,mistral-large,authority_bias
0.1,80,0.0,,,mistral-large,authority_bias
